country,year
Mauritania,1986
Mauritania,1987
Mauritania,1988
Mauritania,1989
Mauritania,1990
Mauritania,1991
Mauritania,1992
Mauritania,1993
Mauritania,1994
Mauritania,1995
Mauritania,1996
Mauritania,1997
Mauritania,1998
Mauritania,1999
Mauritania,2000
Mauritania,2001
Mauritania,2002
Mauritania,2003
Mauritania,2004
Mauritania,2005
Mauritania,2006
Niger,1981
Niger,1982
Niger,1983
Niger,1984
Niger,1985
Niger,1986
Niger,1987
Niger,1988
Niger,1989
Niger,1990
Niger,1991
Niger,1992
Niger,1993
Niger,1994
Niger,1995
Niger,1996
Niger,1997
Niger,1998
Niger,1999
Niger,2000
Niger,2001
Niger,2002
Niger,2003
Niger,2004
Niger,2005
Niger,2006
Cote d`Ivoire,1981
Cote d`Ivoire,1982
Cote d`Ivoire,1983
Cote d`Ivoire,1984
Cote d`Ivoire,1985
Cote d`Ivoire,1986
Cote d`Ivoire,1987
Cote d`Ivoire,1988
Cote d`Ivoire,1989
Cote d`Ivoire,1990
Cote d`Ivoire,1991
Cote d`Ivoire,1992
Cote d`Ivoire,1993
Cote d`Ivoire,1994
Cote d`Ivoire,1995
Cote d`Ivoire,1996
Cote d`Ivoire,1997
Cote d`Ivoire,1998
Cote d`Ivoire,1999
Cote d`Ivoire,2000
Cote d`Ivoire,2001
Cote d`Ivoire,2002
Cote d`Ivoire,2003
Cote d`Ivoire,2004
Cote d`Ivoire,2005
Cote d`Ivoire,2006
Guinea,1981
Guinea,1982
Guinea,1983
Guinea,1984
Guinea,1985
Guinea,1986
Guinea,1987
Guinea,1988
Guinea,1989
Guinea,1990
Guinea,1991
Guinea,1992
Guinea,1993
Guinea,1994
Guinea,1995
Guinea,1996
Guinea,1997
Guinea,1998
Guinea,1999
Guinea,2000
Guinea,2001
Guinea,2002
Guinea,2003
Guinea,2004
Guinea,2005
Guinea,2006
Burkina Faso,1981
Burkina Faso,1982
Burkina Faso,1983
Burkina Faso,1984
Burkina Faso,1985
Burkina Faso,1986
Burkina Faso,1987
Burkina Faso,1988
Burkina Faso,1989
Burkina Faso,1990
Burkina Faso,1991
Burkina Faso,1992
Burkina Faso,1993
Burkina Faso,1994
Burkina Faso,1995
Burkina Faso,1996
Burkina Faso,1997
Burkina Faso,1998
Burkina Faso,1999
Burkina Faso,2000
Burkina Faso,2001
Burkina Faso,2002
Burkina Faso,2003
Burkina Faso,2004
Burkina Faso,2005
Burkina Faso,2006
Liberia,1981
Liberia,1982
Liberia,1983
Liberia,1984
Liberia,1985
Liberia,1986
Liberia,1987
Liberia,1988
Liberia,1989
Liberia,1990
Liberia,1991
Liberia,1992
Liberia,1993
Liberia,1994
Liberia,1995
Liberia,1996
Liberia,1997
Liberia,1998
Liberia,1999
Liberia,2000
Liberia,2001
Liberia,2002
Liberia,2003
Liberia,2004
Liberia,2005
Liberia,2006
Sierra Leone,1981
Sierra Leone,1982
Sierra Leone,1983
Sierra Leone,1984
Sierra Leone,1985
Sierra Leone,1986
Sierra Leone,1987
Sierra Leone,1988
Sierra Leone,1989
Sierra Leone,1990
Sierra Leone,1991
Sierra Leone,1992
Sierra Leone,1993
Sierra Leone,1994
Sierra Leone,1995
Sierra Leone,1996
Sierra Leone,1997
Sierra Leone,1998
Sierra Leone,1999
Sierra Leone,2000
Sierra Leone,2001
Sierra Leone,2002
Sierra Leone,2003
Sierra Leone,2004
Sierra Leone,2005
Sierra Leone,2006
Ghana,1981
Ghana,1982
Ghana,1983
Ghana,1984
Ghana,1985
Ghana,1986
Ghana,1987
Ghana,1988
Ghana,1989
Ghana,1990
Ghana,1991
Ghana,1992
Ghana,1993
Ghana,1994
Ghana,1995
Ghana,1996
Ghana,1997
Ghana,1998
Ghana,1999
Ghana,2000
Ghana,2001
Ghana,2002
Ghana,2003
Ghana,2004
Ghana,2005
Ghana,2006
Togo,1981
Togo,1982
Togo,1983
Togo,1984
Togo,1985
Togo,1986
Togo,1987
Togo,1988
Togo,1989
Togo,1990
Togo,1991
Togo,1992
Togo,1993
Togo,1994
Togo,1995
Togo,1996
Togo,1997
Togo,1998
Togo,1999
Togo,2000
Togo,2001
Togo,2002
Togo,2003
Togo,2004
Togo,2005
Togo,2006
Cameroon,1981
Cameroon,1982
Cameroon,1983
Cameroon,1984
Cameroon,1985
Cameroon,1986
Cameroon,1987
Cameroon,1988
Cameroon,1989
Cameroon,1990
Cameroon,1991
Cameroon,1992
Cameroon,1993
Cameroon,1994
Cameroon,1995
Cameroon,1996
Cameroon,1997
Cameroon,1998
Cameroon,1999
Cameroon,2000
Cameroon,2001
Cameroon,2002
Cameroon,2003
Cameroon,2004
Cameroon,2005
Cameroon,2006
Nigeria,1981
Nigeria,1982
Nigeria,1983
Nigeria,1984
Nigeria,1985
Nigeria,1986
Nigeria,1987
Nigeria,1988
Nigeria,1989
Nigeria,1990
Nigeria,1991
Nigeria,1992
Nigeria,1993
Nigeria,1994
Nigeria,1995
Nigeria,1996
Nigeria,1997
Nigeria,1998
Nigeria,1999
Nigeria,2000
Nigeria,2001
Nigeria,2002
Nigeria,2003
Nigeria,2004
Nigeria,2005
Nigeria,2006
Gabon,1981
Gabon,1982
Gabon,1983
Gabon,1984
Gabon,1985
Gabon,1986
Gabon,1987
Gabon,1988
Gabon,1989
Gabon,1990
Gabon,1991
Gabon,1992
Gabon,1993
Gabon,1994
Gabon,1995
Gabon,1996
Gabon,1997
Gabon,1998
Gabon,1999
Gabon,2000
Gabon,2001
Gabon,2002
Gabon,2003
Gabon,2004
Gabon,2005
Gabon,2006
Central African Republic,1981
Central African Republic,1982
Central African Republic,1983
Central African Republic,1984
Central African Republic,1985
Central African Republic,1986
Central African Republic,1987
Central African Republic,1988
Central African Republic,1989
Central African Republic,1990
Central African Republic,1991
Central African Republic,1992
Central African Republic,1993
Central African Republic,1994
Central African Republic,1995
Central African Republic,1996
Central African Republic,1997
Central African Republic,1998
Central African Republic,1999
Central African Republic,2000
Central African Republic,2001
Central African Republic,2002
Central African Republic,2003
Central African Republic,2004
Central African Republic,2005
Central African Republic,2006
Chad,1981
Chad,1982
Chad,1983
Chad,1984
Chad,1985
Chad,1986
Chad,1987
Chad,1988
Chad,1989
Chad,1990
Chad,1991
Chad,1992
Chad,1993
Chad,1994
Chad,1995
Chad,1996
Chad,1997
Chad,1998
Chad,1999
Chad,2000
Chad,2001
Chad,2002
Chad,2003
Chad,2004
Chad,2005
Chad,2006
"Congo, Republic of",1981
"Congo, Republic of",1982
"Congo, Republic of",1983
"Congo, Republic of",1984
"Congo, Republic of",1985
"Congo, Republic of",1986
"Congo, Republic of",1987
"Congo, Republic of",1988
"Congo, Republic of",1989
"Congo, Republic of",1990
"Congo, Republic of",1991
"Congo, Republic of",1992
"Congo, Republic of",1993
"Congo, Republic of",1994
"Congo, Republic of",1995
"Congo, Republic of",1996
"Congo, Republic of",1997
"Congo, Republic of",1998
"Congo, Republic of",1999
"Congo, Republic of",2000
"Congo, Republic of",2001
"Congo, Republic of",2002
"Congo, Republic of",2003
"Congo, Republic of",2004
"Congo, Republic of",2005
"Congo, Republic of",2006
"Congo, Dem. Rep.",1981
"Congo, Dem. Rep.",1982
"Congo, Dem. Rep.",1983
"Congo, Dem. Rep.",1984
"Congo, Dem. Rep.",1985
"Congo, Dem. Rep.",1986
"Congo, Dem. Rep.",1987
"Congo, Dem. Rep.",1988
"Congo, Dem. Rep.",1989
"Congo, Dem. Rep.",1990
"Congo, Dem. Rep.",1991
"Congo, Dem. Rep.",1992
"Congo, Dem. Rep.",1993
"Congo, Dem. Rep.",1994
"Congo, Dem. Rep.",1995
"Congo, Dem. Rep.",1996
"Congo, Dem. Rep.",1997
"Congo, Dem. Rep.",1998
"Congo, Dem. Rep.",1999
"Congo, Dem. Rep.",2000
"Congo, Dem. Rep.",2001
"Congo, Dem. Rep.",2002
"Congo, Dem. Rep.",2003
"Congo, Dem. Rep.",2004
"Congo, Dem. Rep.",2005
"Congo, Dem. Rep.",2006
Uganda,1981
Uganda,1982
Uganda,1983
Uganda,1984
Uganda,1985
Uganda,1986
Uganda,1987
Uganda,1988
Uganda,1989
Uganda,1990
Uganda,1991
Uganda,1992
Uganda,1993
Uganda,1994
Uganda,1995
Uganda,1996
Uganda,1997
Uganda,1998
Uganda,1999
Uganda,2000
Uganda,2001
Uganda,2002
Uganda,2003
Uganda,2004
Uganda,2005
Uganda,2006
Kenya,1981
Kenya,1982
Kenya,1983
Kenya,1984
Kenya,1985
Kenya,1986
Kenya,1987
Kenya,1988
Kenya,1989
Kenya,1990
Kenya,1991
Kenya,1992
Kenya,1993
Kenya,1994
Kenya,1995
Kenya,1996
Kenya,1997
Kenya,1998
Kenya,1999
Kenya,2000
Kenya,2001
Kenya,2002
Kenya,2003
Kenya,2004
Kenya,2005
Kenya,2006
Tanzania,1981
Tanzania,1982
Tanzania,1983
Tanzania,1984
Tanzania,1985
Tanzania,1986
Tanzania,1987
Tanzania,1988
Tanzania,1989
Tanzania,1990
Tanzania,1991
Tanzania,1992
Tanzania,1993
Tanzania,1994
Tanzania,1995
Tanzania,1996
Tanzania,1997
Tanzania,1998
Tanzania,1999
Tanzania,2000
Tanzania,2001
Tanzania,2002
Tanzania,2003
Tanzania,2004
Tanzania,2005
Tanzania,2006
Burundi,1981
Burundi,1982
Burundi,1983
Burundi,1984
Burundi,1985
Burundi,1986
Burundi,1987
Burundi,1988
Burundi,1989
Burundi,1990
Burundi,1991
Burundi,1992
Burundi,1993
Burundi,1994
Burundi,1995
Burundi,1996
Burundi,1997
Burundi,1998
Burundi,1999
Burundi,2000
Burundi,2001
Burundi,2002
Burundi,2003
Burundi,2004
Burundi,2005
Burundi,2006
Rwanda,1981
Rwanda,1982
Rwanda,1983
Rwanda,1984
Rwanda,1985
Rwanda,1986
Rwanda,1987
Rwanda,1988
Rwanda,1989
Rwanda,1990
Rwanda,1991
Rwanda,1992
Rwanda,1993
Rwanda,1994
Rwanda,1995
Rwanda,1996
Rwanda,1997
Rwanda,1998
Rwanda,1999
Rwanda,2000
Rwanda,2001
Rwanda,2002
Rwanda,2003
Rwanda,2004
Rwanda,2005
Rwanda,2006
Somalia,1981
Somalia,1982
Somalia,1983
Somalia,1984
Somalia,1985
Somalia,1986
Somalia,1987
Somalia,1988
Somalia,1989
Somalia,1990
Somalia,1991
Somalia,1992
Somalia,1993
Somalia,1994
Somalia,1995
Somalia,1996
Somalia,1997
Somalia,1998
Somalia,1999
Somalia,2000
Somalia,2001
Somalia,2002
Somalia,2003
Somalia,2004
Somalia,2005
Somalia,2006
Djibouti,1981
Djibouti,1982
Djibouti,1983
Djibouti,1984
Djibouti,1985
Djibouti,1986
Djibouti,1987
Djibouti,1988
Djibouti,1989
Djibouti,1990
Djibouti,1991
Djibouti,1992
Djibouti,1993
Djibouti,1994
Djibouti,1995
Djibouti,1996
Djibouti,1997
Djibouti,1998
Djibouti,1999
Djibouti,2000
Djibouti,2001
Djibouti,2002
Djibouti,2003
Djibouti,2004
Djibouti,2005
Djibouti,2006
Ethiopia,1981
Ethiopia,1982
Ethiopia,1983
Ethiopia,1984
Ethiopia,1985
Ethiopia,1986
Ethiopia,1987
Ethiopia,1988
Ethiopia,1989
Ethiopia,1990
Ethiopia,1991
Ethiopia,1992
Ethiopia,1993
Ethiopia,1994
Ethiopia,1995
Ethiopia,1996
Ethiopia,1997
Ethiopia,1998
Ethiopia,1999
Ethiopia,2000
Ethiopia,2001
Ethiopia,2002
Ethiopia,2003
Ethiopia,2004
Ethiopia,2005
Ethiopia,2006
Angola,1981
Angola,1982
Angola,1983
Angola,1984
Angola,1985
Angola,1986
Angola,1987
Angola,1988
Angola,1989
Angola,1990
Angola,1991
Angola,1992
Angola,1993
Angola,1994
Angola,1995
Angola,1996
Angola,1997
Angola,1998
Angola,1999
Mozambique,1981
Mozambique,1982
Mozambique,1983
Mozambique,1984
Mozambique,1985
Mozambique,1986
Mozambique,1987
Mozambique,1988
Mozambique,1989
Mozambique,1990
Mozambique,1991
Mozambique,1992
Mozambique,1993
Mozambique,1994
Mozambique,1995
Mozambique,1996
Mozambique,1997
Mozambique,1998
Mozambique,1999
Mozambique,2000
Mozambique,2001
Mozambique,2002
Mozambique,2003
Mozambique,2004
Mozambique,2005
Mozambique,2006
Zambia,1981
Zambia,1982
Zambia,1983
Zambia,1984
Zambia,1985
Zambia,1986
Zambia,1987
Zambia,1988
Zambia,1989
Zambia,1990
Zambia,1991
Zambia,1992
Zambia,1993
Zambia,1994
Zambia,1995
Zambia,1996
Zambia,1997
Zambia,1998
Zambia,1999
Zambia,2000
Zambia,2001
Zambia,2002
Zambia,2003
Zambia,2004
Zambia,2005
Zambia,2006
Zimbabwe,1981
Zimbabwe,1982
Zimbabwe,1983
Zimbabwe,1984
Zimbabwe,1985
Zimbabwe,1986
Zimbabwe,1987
Zimbabwe,1988
Zimbabwe,1989
Zimbabwe,1990
Zimbabwe,1991
Zimbabwe,1992
Zimbabwe,1993
Zimbabwe,1994
Zimbabwe,1995
Zimbabwe,1996
Zimbabwe,1997
Zimbabwe,1998
Zimbabwe,1999
Zimbabwe,2000
Zimbabwe,2001
Zimbabwe,2002
Zimbabwe,2003
Zimbabwe,2004
Zimbabwe,2005
Zimbabwe,2006
Malawi,1981
Malawi,1982
Malawi,1983
Malawi,1984
Malawi,1985
Malawi,1986
Malawi,1987
Malawi,1988
Malawi,1989
Malawi,1990
Malawi,1991
Malawi,1992
Malawi,1993
Malawi,1994
Malawi,1995
Malawi,1996
Malawi,1997
Malawi,1998
Malawi,1999
Malawi,2000
Malawi,2001
Malawi,2002
Malawi,2003
Malawi,2004
Malawi,2005
Malawi,2006
South Africa,1981
South Africa,1982
South Africa,1983
South Africa,1984
South Africa,1985
South Africa,1986
South Africa,1987
South Africa,1988
South Africa,1989
South Africa,1990
South Africa,1991
South Africa,1992
South Africa,1993
South Africa,1994
South Africa,1995
South Africa,1996
South Africa,1997
South Africa,1998
South Africa,1999
South Africa,2000
South Africa,2001
South Africa,2002
South Africa,2003
South Africa,2004
South Africa,2005
South Africa,2006
Namibia,1991
Namibia,1992
Namibia,1993
Namibia,1994
Namibia,1995
Namibia,1996
Namibia,1997
Namibia,1998
Namibia,1999
Namibia,2000
Namibia,2001
Namibia,2002
Namibia,2003
Namibia,2004
Namibia,2005
Namibia,2006
Lesotho,1981
Lesotho,1982
Lesotho,1983
Lesotho,1984
Lesotho,1985
Lesotho,1986
Lesotho,1987
Lesotho,1988
Lesotho,1989
Lesotho,1990
Lesotho,1991
Lesotho,1992
Lesotho,1993
Lesotho,1994
Lesotho,1995
Lesotho,1996
Lesotho,1997
Lesotho,1998
Lesotho,1999
Lesotho,2000
Lesotho,2001
Lesotho,2002
Lesotho,2003
Lesotho,2004
Lesotho,2005
Lesotho,2006
Botswana,1981
Botswana,1982
Botswana,1983
Botswana,1984
Botswana,1985
Botswana,1986
Botswana,1987
Botswana,1988
Botswana,1989
Botswana,1990
Botswana,1991
Botswana,1992
Botswana,1993
Botswana,1994
Botswana,1995
Botswana,1996
Botswana,1997
Botswana,1998
Botswana,1999
Botswana,2000
Botswana,2001
Botswana,2002
Botswana,2003
Botswana,2004
Botswana,2005
Botswana,2006
Swaziland,1981
Swaziland,1982
Swaziland,1983
Swaziland,1984
Swaziland,1985
Swaziland,1986
Swaziland,1987
Swaziland,1988
Swaziland,1989
Swaziland,1990
Swaziland,1991
Swaziland,1992
Swaziland,1993
Swaziland,1994
Swaziland,1995
Swaziland,1996
Swaziland,1997
Swaziland,1998
Swaziland,1999
Swaziland,2000
Swaziland,2001
Swaziland,2002
Swaziland,2003
Swaziland,2004
Swaziland,2005
Swaziland,2006
Madagascar,1981
Madagascar,1982
Madagascar,1983
Madagascar,1984
Madagascar,1985
Madagascar,1986
Madagascar,1987
Madagascar,1988
Madagascar,1989
Madagascar,1990
Madagascar,1991
Madagascar,1992
Madagascar,1993
Madagascar,1994
Madagascar,1995
Madagascar,1996
Madagascar,1997
Madagascar,1998
Madagascar,1999
Madagascar,2000
Madagascar,2001
Madagascar,2002
Madagascar,2003
Madagascar,2004
Madagascar,2005
Madagascar,2006
Sudan,1981
Sudan,1982
Sudan,1983
Sudan,1984
Sudan,1985
Sudan,1986
Sudan,1987
Sudan,1988
Sudan,1989
Sudan,1990
Sudan,1991
Sudan,1992
Sudan,1993
Sudan,1994
Sudan,1995
Sudan,1996
Sudan,1997
Sudan,1998
Sudan,1999
Sudan,2000
Sudan,2001
Sudan,2002
Sudan,2003
Sudan,2004
Sudan,2005
Sudan,2006
